Field=#~Integer~#~50|Field=Comment~String~Comment~99|Field=Description~String~Description~99|Field=Designator~String~Designator~99|Field=Footprint~String~Footprint~99|Field=LibRef~String~LibRef~99|Field=Quantity~Integer~Quantity~99|ReportField=Currency~<none>|ReportField=ProductionQuantity~1|ReportField=ProjectFileName~CabinTempSenseHardware.PrjPcb|ReportField=ProjectFullPath~D:\Solar\CabinTempSenseHardware\V1\CabinTempSenseHardware\CabinTempSenseHardware.PrjPcb|ReportField=Title~Bill of Materials For Project [CabinTempSenseHardware.PrjPcb] (No PCB Document Selected)|ReportField=TotalQuantity~18|ReportField=ReportTime~11:56:49 AM|ReportField=ReportDate~2017-04-08|ReportField=ReportDateTime~2017-04-08 11:56:49 AM|ReportField=OutputName~Bill of Materials|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~None|ReportField=Address1~|ReportField=Address2~|ReportField=Address3~|ReportField=Address4~|ReportField=Application_BuildNumber~|ReportField=ApprovedBy~|ReportField=Author~|ReportField=CheckedBy~|ReportField=CompanyName~|ReportField=CurrentDate~2017-04-08|ReportField=CurrentTime~11:51:37 AM|ReportField=Date~|ReportField=DocumentFullPathAndName~D:\Solar\CabinTempSenseHardware\V1\CabinTempSenseHardware\MainBoard.SchDoc|ReportField=DocumentName~MainBoard.SchDoc|ReportField=DocumentNumber~|ReportField=DrawnBy~|ReportField=Engineer~|ReportField=ImagePath~|ReportField=ModifiedDate~2017-04-01|ReportField=Organization~|ReportField=ProjectName~CabinTempSenseHardware.PrjPcb|ReportField=Revision~|ReportField=Rule~|ReportField=SheetNumber~|ReportField=SheetTotal~|ReportField=Time~|ReportField=Title~|ReportField=DataSourceFileName~CabinTempSenseHardware.PrjPcb|ReportField=DataSourceFullPath~D:\Solar\CabinTempSenseHardware\V1\CabinTempSenseHardware\CabinTempSenseHardware.PrjPcb
1|SCH_GENERIC_CAPACITOR_0603|Generic SMD capacitor 0603|C0, C1, C2, C3, C4|PCB_GENERIC_SMD_0603|SCH_GENERIC_CAPACITOR_0603|5
2|TVS Diode 3.3V||D0, D1|TVS Diode|TVS Diode 3.3V|2
3|SCH_MLX_MICROFIT_3X2||P1|PCB_MLX_MICROFIT_3X2|SCH_MLX_MICROFIT_3X2|1
4|SCH_GENERIC_RESISTOR_0603|Generic SMD resistor 0603|R1, R2, R3, R4|PCB_GENERIC_SMD_0603|SCH_GENERIC_RESISTOR_0603|4
5|Rest Switch||SW1|Push Button Switch|PushButtonSwitch|1
6|MCP2562|1/1 Transceiver Full CAN 8-SOIC|U0|SOIC127P600X175-8N|MCP2562|1
7|STM32F102C4T6A|ARM Cortex-M3 32-bit MCU, 16 KB Flash, 4 KB Internal RAM, 37 I/Os, 48-pin LQFP, -40 to 85 degC, Tray|U1|STM-LQFP48_N|STM32F102C4T6A|1
8|I2C Temperature Sensor||U2|SENSOR TEMP I2C/SMBUS 8MSOP|Temperature Sensor Digital, Local -40°C ~ 125°C 10 b 8-MSOP, Digikey; MCP9808T-E/MSCT-ND Mfg; MCP9808T-E/MS|1
9|R78E-1.0 DC/DC||U3|R78-1.0|R78E-1.0|1
10|RECOM RO Series||U4|RECOM RO Series 1W DCDC|RECOM RO Series DCDC Converter|1
